Epoch 10/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 20/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 30/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 40/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 50/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 60/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 70/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 80/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 90/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 100/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 110/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 120/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 130/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 140/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 150/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 160/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 170/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 180/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 190/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 200/100000, Disc Loss: 0.69, Gen Loss: 0.68 
Epoch 210/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 220/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 230/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 240/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 250/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 260/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 270/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 280/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 290/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 300/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 310/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 320/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 330/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 340/100000, Disc Loss: 0.69, Gen Loss: 0.69 
Epoch 350/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 360/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 370/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 380/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 390/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 400/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 410/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 420/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 430/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 440/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 450/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 460/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 470/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 480/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 490/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 500/100000, Disc Loss: 0.69, Gen Loss: 0.7 
Epoch 510/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 520/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 530/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 540/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 550/100000, Disc Loss: 0.68, Gen Loss: 0.71 
Epoch 560/100000, Disc Loss: 0.68, Gen Loss: 0.71 
Epoch 570/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 580/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 590/100000, Disc Loss: 0.68, Gen Loss: 0.74 
Epoch 600/100000, Disc Loss: 0.69, Gen Loss: 0.71 
Epoch 610/100000, Disc Loss: 0.68, Gen Loss: 0.71 
Epoch 620/100000, Disc Loss: 0.68, Gen Loss: 0.71 
Epoch 630/100000, Disc Loss: 0.68, Gen Loss: 0.71 
Epoch 640/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 650/100000, Disc Loss: 0.67, Gen Loss: 0.74 
